,PDB code,Resolution (A),Bnet
25226,1ZMB,2.61,1.74997284
25227,6K2Y,1.57,1.749948951
25228,5L23,1.77,1.749940993
25229,3HJH,1.93,1.749938424
25230,3EA3,1.78,1.749860385
25231,2AH7,1.7,1.749792696
25232,1F74,1.53,1.749776819
25233,6IUN,2.38,1.749749886
25234,4WB9,2.07,1.74974886
25235,6O2Z,2.5,1.749727121
25236,4H0G,2.2,1.749725683
25237,2REI,1.6,1.749558583
25238,5XJ4,2.29,1.749550622
25239,5XWX,1.55,1.749508725
25240,3C0C,1.7,1.749498909
25241,4OBX,2.2,1.749497154
25242,5PTQ,1.49,1.749494918
25243,1MMT,2.0,1.749445676
25244,4GJI,1.69,1.749419788
25245,5NIR,1.74,1.749394979
25246,2WEQ,2.2,1.749357656
25247,4D4R,1.55,1.749317324
25248,5B3U,2.7,1.74926792
25249,1V76,2.0,1.749223031
25250,2F8J,2.39,1.749187836
25251,6KRX,1.7,1.749166717
25252,5D2J,1.72,1.749138827
25253,6LV9,1.2,1.749138472
25254,6FMR,2.7,1.749093073
25255,4N8Y,1.5,1.749084089
25256,3NJK,1.5,1.749031031
25257,1D0Q,1.65,1.749023157
25258,6MKZ,2.65,1.749022078
25259,3LQ3,1.42,1.748986777
25260,4LHI,1.6,1.74896495
25261,2Z57,1.8,1.748935806
25262,6HK5,2.04,1.748922445
25263,2F9T,2.2,1.748907743
25264,5HAO,2.18,1.748901489
25265,5F93,2.99,1.748883126
25266,2XGW,2.1,1.748874121
25267,1TQM,1.99,1.748858936
25268,4NOM,2.01,1.748777556
25269,5ORS,1.98,1.748723389
25270,5A0L,1.35,1.74870081
25271,1S2M,2.1,1.748681482
25272,6NTO,2.05,1.748666839
25273,5I27,2.05,1.74864531
25274,4QIF,2.0,1.748608096
25275,4LX2,1.5,1.748561525
25276,1O9V,1.75,1.748555787
25277,2HMU,2.25,1.748542586
25278,2GC3,2.1,1.748531356
25279,6L4V,1.35,1.748522462
25280,2WA9,2.89,1.748441763
25281,3CR5,1.85,1.74842518
25282,6G8G,2.6,1.748365947
25283,2VIM,1.38,1.748350703
25284,6QNG,1.67,1.748309555
25285,5HJ2,2.15,1.748190475
25286,5P1Q,1.17,1.748183094
25287,3NUQ,1.7,1.748145417
25288,3HEZ,2.0,1.748123873
25289,5V36,1.88,1.748080809
25290,6BIO,1.2,1.748071901
25291,4BH2,2.12,1.748046555
25292,3U64,2.3,1.74804544
25293,4FZL,1.46,1.748018066
25294,2XBA,1.95,1.748003151
25295,2OUV,1.56,1.747990197
25296,7AFS,1.7,1.747968899
25297,6VTV,2.06,1.747888506
25298,5HDV,1.71,1.747883395
25299,4B75,2.53,1.747865152
25300,5OV5,1.81,1.747841376
25301,5M0Y,1.5,1.747827653
25302,6OKO,2.1,1.747783075
25303,6KAN,2.25,1.747683316
25304,4W7S,2.54,1.747661831
25305,4QAQ,1.58,1.747639725
25306,6G7D,1.35,1.747619984
25307,5QGN,1.95,1.747590879
25308,5T19,2.1,1.7475783
25309,6P61,1.95,1.747531064
25310,4APJ,2.6,1.747519762
25311,3INT,2.51,1.747505239
25312,1W0H,1.59,1.747483334
25313,3EPA,2.1,1.747471436
25314,3GXG,1.6,1.747398874
25315,6MBN,1.96,1.747380046
25316,5YP6,2.2,1.747361009
25317,3VW5,2.6,1.74733745
25318,5VZO,1.78,1.747287446
25319,3LW6,1.81,1.747280152
25320,2FEF,1.9,1.747264301
25321,6JJZ,1.65,1.747244692
25322,5XKO,1.89,1.747217781
25323,6FRI,2.3,1.74717849
25324,5FNX,2.65,1.74716845
25325,3T8H,1.45,1.747152163
25326,3GE4,1.7,1.747139956
25327,2GKI,2.88,1.747093604
25328,6KB9,1.55,1.747077037
25329,5GUY,2.4,1.747044866
25330,1Y1M,1.79,1.747030717
25331,4IPI,1.75,1.746990072
25332,2ZPN,2.7,1.746970416
25333,2Y1W,2.1,1.74696192
25334,4LNB,1.75,1.746955321
25335,5U5M,1.88,1.746947129
25336,5JDU,1.69,1.746891286
25337,5DSQ,1.5,1.746887846
25338,2PGB,1.54,1.746884895
25339,5Z1A,1.86,1.746884145
25340,2YPV,1.8,1.746857833
25341,5LTZ,1.67,1.746728765
25342,5UEI,1.7,1.746728143
25343,4F74,2.2,1.746653747
25344,6II1,1.34,1.746645855
25345,5NLE,1.85,1.746621718
25346,4GFV,2.1,1.746605395
25347,3O28,2.0,1.74651573
25348,6OYH,2.95,1.746513788
25349,5FYZ,1.75,1.746510764
25350,3BK1,2.33,1.746504686
25351,4DXE,2.52,1.746484617
25352,4DNO,1.95,1.746453782
25353,4C5A,1.65,1.746398727
25354,4Z6W,1.57,1.746393968
25355,6UPP,1.56,1.746353074
25356,6.00E+85,1.25,1.746346508
25357,5C0D,1.68,1.746342828
25358,4JXQ,1.15,1.746337654
25359,3V2G,2.3,1.746300686
25360,2QMQ,1.7,1.746285578
25361,4AUT,2.1,1.746233351
25362,3B7C,1.7,1.746226745
25363,4N2R,1.2,1.746211995
25364,5YFW,2.35,1.746208132
25365,3B21,2.01,1.746195738
25366,1FMZ,2.05,1.74619038
25367,3K7H,1.5,1.746185001
25368,3K6G,1.95,1.74617131
25369,6K87,1.5,1.746167546
25370,4FOA,2.25,1.746136383
25371,3ZT9,1.75,1.746130249
25372,6B4P,1.55,1.746082665
25373,4V3R,1.95,1.746039546
25374,4JM8,1.3,1.746036877
25375,3FAT,1.9,1.74601649
25376,5SVX,1.56,1.745984283
25377,2I49,1.34,1.745981527
25378,2OVE,2.0,1.745934945
25379,3C8T,2.2,1.745914188
25380,5OWO,1.79,1.745911712
25381,4EYV,1.97,1.745855133
25382,6PF4,2.85,1.7457583
25383,2H2D,1.64,1.745648034
25384,5F46,1.85,1.745638957
25385,3OED,3.16,1.745621665
25386,2ZUY,1.65,1.745601864
25387,3S13,2.96,1.74559175
25388,2VRQ,2.0,1.745577577
25389,3PIX,1.85,1.745577192
25390,5DZM,2.05,1.745554031
25391,3HPC,1.47,1.745538299
25392,6DCE,1.47,1.745533756
25393,2AAL,1.6,1.745489305
25394,4P6Q,2.0,1.745466902
25395,6JKZ,1.4,1.745435887
25396,3HMU,2.1,1.745420795
25397,3QV2,2.15,1.745414218
25398,6V66,1.79,1.745331779
25399,6PA3,1.65,1.745284931
25400,5OQH,2.05,1.745266173
25401,4GWJ,1.6,1.745245212
25402,5B09,1.7,1.745222282
25403,6Q54,1.4,1.745192577
25404,5AZ3,1.42,1.745134713
25405,6KZW,2.08,1.745080777
25406,4KQZ,2.51,1.745077369
25407,4KUI,1.84,1.745066615
25408,2BH8,1.8,1.745031272
25409,5FGD,2.8,1.744942766
25410,2A03,2.33,1.74494137
25411,2ZT9,3.0,1.744918279
25412,4NKN,2.79,1.744881733
25413,6R7V,1.4,1.744856557
25414,5M7P,2.36,1.744840754
25415,1Z94,2.09,1.744753588
25416,5DZY,2.73,1.744723448
25417,6CBO,1.6,1.744715326
25418,5XQD,1.6,1.744659506
25419,5UY7,1.65,1.744655592
25420,6W4Y,1.91,1.744652603
25421,3ZN4,1.26,1.744634922
25422,4Y94,2.31,1.744624528
25423,6AHQ,3.4,1.744567925
25424,4HRR,1.25,1.744555208
25425,5KLB,2.7,1.744545272
25426,2ILN,2.0,1.744533777
25427,6BDQ,1.83,1.744529785
25428,4X92,3.0,1.744511996
25429,6QNN,2.03,1.744444807
25430,1RFG,2.9,1.744435855
25431,6E6Z,1.75,1.744366682
25432,3H2B,2.0,1.744365423
25433,6R0E,1.91,1.744317707
25434,6BMA,1.98,1.744308886
25435,6ETT,1.26,1.744277854
25436,4UBE,1.93,1.744268275
25437,3EX3,1.43,1.744245815
25438,4H2P,1.98,1.744232396
25439,4G6V,2.64,1.744227803
25440,3IXA,2.08,1.744209746
25441,6H2X,2.6,1.744199716
25442,6T1B,1.2,1.744165588
25443,2GBB,2.1,1.74415435
25444,3O9B,1.5,1.744126439
25445,3HHP,1.45,1.744116725
25446,5J62,2.15,1.744083874
25447,3KV1,1.7,1.74404635
25448,5KJ4,3.35,1.744040884
25449,3BM7,1.35,1.744025703
25450,6ZB1,1.6,1.744009745
25451,4Y1W,1.4,1.743973316
25452,6N0N,1.48,1.743967472
25453,6HXJ,2.58,1.743941781
25454,6J33,1.3,1.743822599
25455,3NQI,1.87,1.743796547
25456,5XCY,1.2,1.743786288
25457,5CC8,1.75,1.743768689
25458,4KRI,1.72,1.74371151
25459,6MLD,1.66,1.743636882
25460,5HP6,2.09,1.743617405
25461,1X8Q,0.9,1.743606374
25462,6G4T,1.91,1.74357358
25463,4CGB,2.15,1.743561488
25464,3I6P,2.1,1.743519051
25465,1W8G,2.0,1.743497724
25466,6UWQ,1.5,1.743477243
25467,4ZJ2,1.8,1.743468179
25468,6TFU,2.0,1.743360665
25469,1LNI,1.0,1.743331234
25470,4PX3,2.43,1.7433306
25471,5OS8,1.55,1.74332558
25472,4WMI,1.87,1.74332401
25473,5E5H,2.05,1.743281902
25474,2DG5,1.6,1.743261541
25475,5GZ1,1.78,1.743260402
25476,2I4N,2.7,1.74323824
25477,3G4Z,1.87,1.743233857
25478,3BEX,1.51,1.743177561
25479,4RHX,2.03,1.743161328
25480,6YB4,1.85,1.743145112
25481,2QH1,2.0,1.743111376
25482,5HXT,2.15,1.74308266
25483,6HXP,1.45,1.743052464
25484,4G8R,2.19,1.743012504
25485,3SRG,2.19,1.742995169
25486,3.00E+28,2.5,1.742980201
25487,6Y48,2.09,1.742956737
25488,3AYG,2.7,1.742951443
25489,5DQW,2.14,1.742927154
25490,3LSL,2.12,1.742885553
25491,5JMB,2.05,1.742839428
25492,6U0D,1.43,1.742839288
25493,1UE0,2.0,1.742780852
25494,3K94,2.1,1.742701021
25495,3E2V,1.5,1.742662094
25496,6K34,2.5,1.742659689
25497,6VSX,2.0,1.742639916
25498,2DG0,2.4,1.742635714
25499,3LUF,1.76,1.742627013
25500,5OLY,2.0,1.742579683
25501,5BP9,1.5,1.742567935
25502,5J4E,2.67,1.742566809
25503,6WN0,1.85,1.742554081
25504,6SAW,3.0,1.742538997
25505,2H4U,2.2,1.742519961
25506,5NRN,2.2,1.742500773
25507,3KWO,1.98,1.742485152
25508,4IT6,1.9,1.742477361
25509,3K0B,1.5,1.742456697
25510,4.00E+43,1.54,1.742442795
25511,3D1B,1.7,1.742440244
25512,6B74,2.32,1.742423569
25513,5K9L,2.52,1.742418172
25514,3B2G,1.76,1.742410209
25515,4PCH,1.7,1.742394076
25516,6CPB,1.15,1.742368995
25517,2ZSC,1.3,1.742368444
25518,6RRR,2.11,1.742344271
25519,3KEF,1.7,1.742307329
25520,5GGV,2.0,1.742295874
25521,3LV5,1.44,1.742281794
25522,5CT4,1.49,1.742275353
25523,4ICR,2.17,1.742225217
25524,4OX5,1.8,1.74220053
25525,6KSQ,2.2,1.742160797
25526,3W56,1.6,1.742142946
25527,1YDH,2.15,1.742141569
25528,4E0A,1.8,1.742130103
25529,6YZQ,1.04,1.741843876
25530,6BI0,2.06,1.741818622
25531,4V37,2.1,1.741817261
25532,2D3K,1.9,1.741812132
25533,4HO9,1.8,1.741794579
25534,2E6D,1.94,1.741758684
25535,4PM7,1.28,1.741728081
25536,4WFO,1.14,1.741679198
25537,4XG0,1.7,1.741673674
25538,5ANJ,1.6,1.741647739
25539,3QDQ,2.6,1.741637894
25540,5NVH,1.6,1.741611295
25541,2IAI,1.65,1.741610547
25542,6OUB,1.42,1.74159854
25543,6A5A,2.94,1.741544743
25544,4A46,1.85,1.741522336
25545,3G4H,1.92,1.74146592
25546,4NAJ,2.6,1.741456178
25547,5BK8,2.22,1.741402604
25548,4X1P,1.5,1.741384652
25549,6Y25,1.95,1.741314374
25550,2XN2,1.58,1.741261409
25551,6BVJ,1.75,1.741228321
25552,2ZQE,1.7,1.741203662
25553,5C8A,2.15,1.741199853
25554,2C1D,1.92,1.741162363
25555,6KBW,1.69,1.74112189
25556,6GBS,1.95,1.741112682
25557,4AVK,2.34,1.741055181
25558,5NBC,1.7,1.741034766
25559,1V18,2.1,1.741034723
25560,2CDU,1.8,1.741030495
25561,4GOK,2.6,1.740926524
25562,4KV2,1.88,1.740892464
25563,4Q6K,1.9,1.740886359
25564,2EKB,1.7,1.740883352
25565,6KIY,1.9,1.740865056
25566,3F8H,2.0,1.740843719
25567,4U7K,1.91,1.740834279
25568,4X86,1.85,1.740818316
25569,6S83,2.34,1.740811781
25570,1J9Y,1.85,1.740732971
25571,3G51,1.8,1.740701023
25572,5ZYN,1.75,1.74064682
25573,5PNG,1.38,1.740629819
25574,2A9A,2.0,1.740612922
25575,6A99,2.29,1.740593903
25576,3VKB,1.8,1.740572218
25577,4HBF,1.9,1.740568907
25578,6JKO,1.9,1.740560823
25579,5T8G,2.04,1.740557091
25580,6VTH,2.36,1.74055367
25581,5OXI,1.63,1.740535254
25582,5EX6,2.4,1.740463215
25583,1JQC,1.61,1.740451718
25584,6AB2,1.4,1.740409205
25585,5VUZ,1.97,1.74039231
25586,5VZ1,2.11,1.740368323
25587,4MMW,1.65,1.740363021
25588,2Z9G,1.86,1.740307391
25589,2C95,1.71,1.74020936
25590,6A1A,1.35,1.740195959
25591,6Q8N,1.76,1.740180858
25592,3Q6Q,1.43,1.740157979
25593,5L65,2.9,1.740148504
25594,3FWA,1.5,1.74009914
25595,3IMI,2.01,1.740089389
25596,4WT0,1.8,1.740040392
25597,3RGU,3.0,1.740015817
25598,5ZBL,2.29,1.74001336
25599,1N7H,1.8,1.739982012
25600,6DIQ,1.58,1.739969947
25601,6C3D,1.55,1.739967146
25602,6UH9,1.52,1.739943543
25603,2GZD,2.44,1.739929348
25604,4RMD,1.9,1.739918866
25605,1IZP,1.5,1.739858631
25606,4U21,1.39,1.739856082
25607,4CVK,1.92,1.739853597
25608,4HJQ,1.8,1.739850614
25609,3BKX,1.85,1.739774815
25610,5LLC,1.1,1.73975617
25611,6FUC,1.17,1.739615391
25612,4RKX,1.59,1.739601592
25613,6WKH,2.55,1.739577998
25614,5EXZ,1.9,1.739561412
25615,2GKL,1.86,1.739547344
25616,5L0V,1.31,1.739534461
25617,4EP8,1.55,1.739515152
25618,4YKK,1.38,1.739504237
25619,4J69,1.89,1.739497657
25620,2QFA,1.4,1.739496129
25621,3IRV,1.6,1.739492827
25622,6UBN,2.15,1.739481765
25623,4HIA,1.95,1.739468136
25624,3MI0,2.12,1.739465152
25625,1TGZ,2.8,1.739461124
25626,4CPM,2.75,1.739460986
25627,5AYR,2.4,1.739455621
25628,6HX0,1.59,1.739454552
25629,2J1Y,1.69,1.739423663
25630,3DQ2,1.6,1.739405388
25631,2ESK,1.36,1.73936215
25632,1PU0,1.7,1.739349308
25633,4UFF,1.55,1.7393424
25634,4DQD,1.6,1.739315842
25635,4EVD,2.2,1.739311398
25636,6CBM,1.65,1.739306337
25637,4UUM,1.37,1.739282023
25638,3AI9,1.55,1.739256065
25639,3O7K,1.98,1.739239181
25640,1G4R,2.15,1.739230068
25641,3P3J,1.6,1.739195162
25642,2ZSL,1.7,1.739161248
25643,5UV1,2.4,1.739110431
25644,4X1S,1.9,1.739091182
25645,2OUS,1.45,1.739061333
25646,1XR4,2.37,1.739048102
25647,4RE9,2.91,1.739011505
25648,6CT3,1.9,1.738928557
25649,5PJ2,1.44,1.738894481
25650,6B9R,1.8,1.73888013
25651,1XE6,2.8,1.7388544
25652,4CD7,1.65,1.738802514
25653,3C7Q,2.1,1.7387832
25654,4RCP,1.61,1.738774331
25655,4RVB,1.93,1.738741738
25656,3RXT,1.7,1.738698599
25657,3IQS,2.2,1.738687637
25658,3KPA,2.2,1.738677782
25659,5LAC,1.93,1.738670978
25660,4FXX,2.48,1.738646477
25661,4J2C,1.8,1.738607893
25662,6HBE,1.63,1.738586558
25663,2X1Z,1.8,1.73856001
25664,5PPB,1.48,1.73852148
25665,2GZ4,1.5,1.738484493
25666,4OI5,1.3,1.738474055
25667,2AR7,2.15,1.7384072
25668,2Z22,2.0,1.738392287
25669,4K3Y,2.68,1.738380456
25670,4WEX,2.1,1.738367191
25671,4Z6V,1.37,1.738310647
25672,3C61,1.8,1.738256044
25673,6IQO,2.11,1.738244054
25674,1J2G,2.2,1.738225619
25675,3LQV,2.39,1.738218325
25676,6MAS,1.3,1.738173621
25677,5F6U,1.55,1.738172668
25678,4PAO,2.0,1.73816183
25679,3CQ1,1.9,1.738104239
25680,4KAB,2.71,1.738101496
25681,3D5S,2.27,1.73805217
25682,5JSV,1.17,1.738032923
25683,6HOB,1.8,1.737944489
25684,5GMJ,2.99,1.737927471
25685,3GM5,2.0,1.737892063
25686,5T8P,2.32,1.737859935
25687,3MQ4,2.8,1.737853329
25688,6L9B,1.95,1.737712847
25689,5NNA,1.5,1.737691703
25690,6JS8,1.36,1.7376617
25691,4CJ5,1.95,1.737661054
25692,4EUB,1.97,1.737653804
25693,4G76,2.38,1.737641955
25694,4IVD,1.93,1.73762981
25695,6U0I,1.9,1.737600053
25696,1Y07,1.55,1.737589906
25697,5TNQ,1.5,1.737586601
25698,5XL6,2.41,1.737505707
25699,1SIX,1.3,1.737455609
25700,2H1I,2.8,1.737442514
25701,6OX5,2.1,1.737419037
25702,4X59,1.8,1.737411602
25703,4TKW,1.8,1.737326524
25704,4B4Q,2.0,1.737318358
25705,3P2D,3.0,1.737264302
25706,4X3Z,1.62,1.737259758
25707,6MH0,1.65,1.737203957
25708,6FL8,2.1,1.737194017
25709,1RGY,1.51,1.737126174
25710,4JHU,1.89,1.737122514
25711,1OX8,2.2,1.736981138
25712,4FM6,1.4,1.736980291
25713,4EW1,1.52,1.736953011
25714,2O9C,1.45,1.736942122
25715,5IJL,2.19,1.736927387
25716,1JND,1.3,1.736927102
25717,2A67,2.0,1.736919751
25718,5NBM,3.4,1.736883545
25719,6ONA,1.95,1.736833335
25720,6GLR,1.6,1.736824916
25721,5BYR,1.82,1.736809525
25722,1WX0,2.27,1.736802242
25723,3MK5,2.06,1.736801899
25724,4NQR,1.09,1.736790827
25725,2PWC,1.78,1.736727566
25726,4M5H,1.11,1.736723374
25727,5EY4,1.86,1.736699004
25728,4FBI,1.5,1.736611913
25729,6YO7,1.17,1.736596153
25730,3L5P,1.8,1.736579197
25731,4KQ9,1.91,1.736569737
25732,5MUM,1.9,1.736547918
25733,6VV9,2.18,1.736533482
25734,6P2T,1.85,1.736520944
25735,2GM5,2.1,1.736489256
25736,2VAC,1.7,1.736475499
25737,2RJO,2.04,1.736467253
25738,5TAR,1.84,1.736382719
25739,3M5K,1.86,1.73622205
25740,6KF7,1.8,1.736214188
25741,2CJ1,1.7,1.736208188
25742,6TFM,2.34,1.736175597
25743,4A0D,1.75,1.736081476
25744,3NXD,2.0,1.736044541
25745,3U8J,2.35,1.736021997
25746,3M84,1.7,1.736019685
25747,4KP7,2.0,1.735986436
25748,2BDX,2.3,1.735981014
25749,2R32,1.95,1.735976961
25750,6QV7,1.72,1.735970752
25751,3FTV,1.7,1.735962566
25752,5D4V,1.6,1.735915239
25753,2FYA,1.75,1.735865698
25754,6FG7,1.9,1.735817627
25755,1L4U,1.8,1.735802716
25756,6FAW,1.4,1.735790703
25757,6NZF,2.39,1.735762003
25758,4PL8,2.0,1.73576067
25759,5GGP,1.6,1.735634514
25760,3EN0,1.5,1.735603752
25761,3F7I,1.78,1.735543542
25762,3WMD,2.0,1.735528854
25763,5FOK,1.9,1.735492014
25764,3ZGH,2.0,1.735456366
25765,4N2M,1.6,1.735424107
25766,6JTA,1.75,1.735316764
25767,5LXR,2.01,1.735299483
25768,3GIX,1.33,1.735293063
25769,6SQT,1.84,1.735247949
25770,6NVX,1.36,1.735217019
25771,4GGQ,1.95,1.735202263
25772,3CHU,2.2,1.735124813
25773,3VMV,1.54,1.735111648
25774,4CT7,1.9,1.735086393
25775,5Z0D,1.16,1.735069025
25776,6U9L,1.7,1.735029388
25777,1LXN,2.3,1.734985807
25778,5QO2,1.64,1.734925658
25779,2PWO,1.45,1.734913966
25780,1VL8,1.96,1.734889727
25781,2QM8,1.7,1.734763407
25782,5GIQ,1.8,1.734742532
25783,4UAV,1.3,1.734719704
25784,2ZN7,2.1,1.734708549
25785,4G5G,2.28,1.734707043
25786,5GS8,1.59,1.734598159
25787,6IH5,2.47,1.734596895
25788,1Q6R,1.76,1.734534638
25789,1WC9,1.6,1.734524909
25790,6FCH,1.45,1.734507848
25791,3LNK,1.8,1.734453543
25792,5B73,1.8,1.734364706
25793,6LI0,2.2,1.734344734
25794,5IG2,1.7,1.734336184
25795,5TOH,2.01,1.734318923
25796,5WGR,2.36,1.73427479
25797,6R05,1.57,1.734199356
25798,6SSY,1.62,1.734198683
25799,3D12,3.0,1.734163352
25800,5P0E,1.8,1.734158004
25801,4KOT,1.55,1.734093644
25802,3RQX,1.6,1.734032803
25803,5VAK,1.7,1.733973437
25804,6EZA,2.0,1.733938161
25805,3MLC,2.22,1.733927354
25806,2V40,1.9,1.733907243
25807,3EE7,2.6,1.73389854
25808,3T8J,1.6,1.733892469
25809,6MYE,1.1,1.733879093
25810,3D7G,1.75,1.733854526
25811,4K2J,2.05,1.733830373
25812,2YD4,1.65,1.733786418
25813,2YMX,1.9,1.733780193
25814,6JVM,2.1,1.733771502
25815,5KQN,1.75,1.733735792
25816,3GXR,1.7,1.733709467
25817,6EUN,2.45,1.7337075
25818,6SF5,1.9,1.733691083
25819,6Y3P,2.3,1.733690701
25820,3HLY,2.4,1.733651251
25821,2VYT,1.9,1.733565665
25822,6UJ5,1.8,1.733540271
25823,5B1N,1.33,1.733493678
25824,5AV1,1.5,1.73348774
25825,4J4Z,1.26,1.733410626
25826,6L4Y,1.5,1.733386557
25827,2FFX,1.9,1.733355182
25828,6DW4,1.99,1.733309157
25829,5N16,1.68,1.733255839
25830,3K65,1.85,1.733239505
25831,4AGU,2.4,1.73322973
25832,6G3J,2.45,1.733220773
25833,3B4D,2.0,1.733207041
25834,3PIT,1.55,1.733180935
25835,2EIF,1.8,1.733154836
25836,3ZGD,1.98,1.733125744
25837,4K4F,2.9,1.733042388
25838,5MLR,1.46,1.732990488
25839,5XCR,1.75,1.732935648
25840,4NJQ,2.7,1.732926688
25841,1J85,1.99,1.732834404
25842,2ICR,1.46,1.73280897
25843,5BST,1.61,1.732794686
25844,3TY2,1.89,1.732763419
25845,1JPE,1.89,1.732756984
25846,4AGO,1.45,1.732696615
25847,4PKW,1.75,1.732688762
25848,6AI1,3.5,1.732668335
25849,3BR1,3.31,1.732657415
25850,5U02,2.3,1.732655888
25851,4OC4,1.66,1.73264489
25852,6REH,1.73,1.732642958
25853,3PA1,1.48,1.732627118
25854,6MFW,2.5,1.732583034
25855,3M9W,2.15,1.732581023
25856,4GGO,2.0,1.732565717
25857,4LTM,2.5,1.732545302
25858,4N2Z,1.8,1.73253703
25859,2CY0,1.9,1.732444661
25860,6FRH,2.03,1.732440804
25861,1WE2,2.04,1.732318755
25862,2BZN,2.15,1.732291244
25863,2XS3,2.4,1.732282392
25864,4FLS,2.3,1.732269761
25865,5PNU,1.14,1.732219222
25866,5VXC,1.87,1.732216916
25867,4NPY,1.8,1.732184546
25868,2VIA,1.67,1.732096605
25869,3SB4,1.99,1.732076767
25870,4CC7,1.97,1.732000489
25871,4N39,1.76,1.731969848
25872,5I0A,1.5,1.731933343
25873,4XT2,1.7,1.731926118
25874,2YYO,2.0,1.731913062
25875,1T7M,1.6,1.731881394
25876,3UAO,2.4,1.731878618
25877,2FCU,1.6,1.731836198
25878,3R50,2.27,1.731826299
25879,2NXZ,2.04,1.731738141
25880,3RS3,1.52,1.731727261
25881,3VVS,2.5,1.731689638
25882,1IAZ,1.89,1.731671899
25883,6D58,2.39,1.731611818
25884,4Y90,2.1,1.731608132
25885,6TNK,1.9,1.731561271
25886,5PL0,1.27,1.731554014
25887,4WK2,2.5,1.731546334
25888,6GNT,1.6,1.73154619
25889,5LL3,2.15,1.731527956
25890,1OGH,1.88,1.731524268
25891,6P10,2.3,1.731516981
25892,4GQ0,2.1,1.731441374
25893,1ZND,1.6,1.731435189
25894,3HVI,1.2,1.731398655
25895,5WLR,1.46,1.731388086
25896,4AH4,1.75,1.731306652
25897,4JZG,2.32,1.731273191
25898,4RZC,2.72,1.731241968
25899,5CHH,1.85,1.731203936
25900,6I03,1.02,1.731189344
25901,3VE7,1.54,1.731182091
25902,6DIR,1.75,1.731163914
25903,3B4Q,1.55,1.73110855
25904,1T8H,1.75,1.731091342
25905,5MLK,1.94,1.731079848
25906,5IRB,2.0,1.731078143
25907,4IQ7,1.9,1.731064717
25908,6PNM,1.82,1.731032862
25909,3VLI,1.7,1.731006072
25910,3EJP,1.32,1.730988722
25911,6SDT,1.94,1.730944044
25912,3B77,2.42,1.730904666
25913,5DLC,2.65,1.730887255
25914,4NLD,2.74,1.730864403
25915,2D8A,2.05,1.730757666
25916,5B83,2.69,1.730696016
25917,3UGR,1.65,1.730685564
25918,6FAZ,1.4,1.730670104
25919,4GDX,1.67,1.730655707
25920,1QMB,2.57,1.730590124
25921,6INX,1.43,1.730556299
25922,6ALO,1.79,1.73053574
25923,4AEH,1.6,1.730509373
25924,3H9P,2.3,1.730496026
25925,3JXG,1.7,1.73049418
25926,2PSD,1.4,1.73043551
25927,5PHM,1.4,1.730435118
25928,5B4Y,1.9,1.7304329
25929,5MSS,1.96,1.730423292
25930,4ARS,1.9,1.73039855
25931,3NWE,1.5,1.730360195
25932,2YSS,2.41,1.730342264
25933,2AGZ,1.6,1.730299895
25934,6QYC,2.29,1.7302994
25935,3VCF,2.7,1.730252704
25936,4ZJR,2.7,1.730192753
25937,6HTH,1.95,1.730118687
25938,3TBB,2.3,1.730093119
25939,2WBD,2.4,1.730077723
25940,5WXB,1.76,1.729982531
25941,5ZA9,1.62,1.729980443
25942,2WMC,2.2,1.729891714
25943,3OMC,1.77,1.729852623
25944,5DS1,2.63,1.72978791
25945,4Z0T,1.5,1.729757928
25946,5VEJ,1.3,1.72971938
25947,5F86,1.9,1.729684792
25948,1U07,1.08,1.729662702
25949,4IJB,1.74,1.729627832
25950,1A7E,1.74,1.729626932
25951,4P8B,1.3,1.729623022
25952,6HWS,1.75,1.729606877
25953,2BBR,1.2,1.729589666
25954,6FKQ,3.07,1.729575374
25955,3AKN,1.6,1.729574763
25956,1JWP,1.74,1.72952296
25957,3POE,1.5,1.729522013
25958,5OPF,1.08,1.729501961
25959,1WX1,1.97,1.729475693
25960,3REM,1.95,1.729425765
25961,4TZM,2.29,1.729413277
25962,5TK2,1.4,1.729388592
25963,6HQF,1.72,1.729385941
25964,1DBF,1.1,1.729356481
25965,6EMM,2.47,1.729342397
25966,5LSR,1.65,1.729322459
25967,1O0O,1.2,1.729311088
25968,5ERP,2.7,1.729309388
25969,5O4Z,1.7,1.729307699
25970,6NYD,1.65,1.729291731
25971,6JD4,2.1,1.729266813
25972,5.00E+56,1.5,1.729213573
25973,4KCL,1.93,1.729162823
25974,5VLB,2.25,1.729111867
25975,6KAJ,2.22,1.72908551
25976,1F18,1.7,1.729029304
25977,4AW4,1.95,1.728982443
25978,4K3K,1.85,1.728979839
25979,4WQQ,1.7,1.728972736
25980,5JIU,2.05,1.728967317
25981,3HC4,1.62,1.728936464
25982,1KP3,1.99,1.728893758
25983,5PK2,1.42,1.728875973
25984,5PTS,1.45,1.728782905
25985,1RDI,1.8,1.728770081
25986,1F8N,1.4,1.728717695
25987,6K08,2.31,1.728656425
25988,3ARU,1.9,1.728638298
25989,2V67,2.0,1.728605622
25990,6H4C,2.52,1.728597273
25991,6HVE,1.9,1.728572211
25992,4ITG,1.74,1.728512764
25993,5YQO,1.48,1.728490134
25994,5WG9,2.29,1.728410261
25995,4QUI,1.76,1.728406707
25996,3DEW,1.75,1.728392081
25997,2X46,1.0,1.728381122
25998,6JFN,2.04,1.728376983
